brand,features,nan,packaging,cost,speed,size,content,strength,temperature,working,entertainment,quality,comfort,YouTube,texture,Hulu,Amazon Prime,Netflix,viewing experience,Prime videos,look,brand loyalty,Fire Stick
Westing House,3,0,2,5,1,0,0,1,0,1,0,4,3,0,2,0,0,0,2,0,0,0,0
SPT,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0
Hisense,9,1,1,3,0,0,3,1,0,4,1,5,4,0,2,0,0,0,2,0,0,0,0
Jam,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Proscan,2,0,0,0,0,0,0,0,0,1,0,2,3,0,0,0,0,0,0,0,0,0,0
Whirlpool,1,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
LG,47,12,3,38,7,8,4,1,7,13,12,54,31,3,11,2,1,8,14,0,3,0,1
TW,200,45,22,188,26,41,13,8,7,60,76,215,208,8,68,5,4,30,58,0,32,0,4
nan,468,3245,24,1280,95,140,8,11,6,260,140,971,643,5,55,1,0,14,205,0,103,1,1
TCL,63,1,3,39,13,8,6,1,6,17,20,43,36,1,15,3,5,12,12,0,8,0,0
Toshiba,3,0,0,5,0,2,1,0,0,0,4,5,0,0,0,0,0,0,2,0,0,0,0
Amazon,68,3,13,41,12,7,11,3,10,21,31,55,46,10,16,12,14,35,17,1,15,0,9
Hake,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Sceptre,181,66,33,272,17,38,4,6,9,79,63,273,196,1,48,1,0,9,74,0,30,0,1
Bose,5,0,1,5,0,2,0,0,0,1,1,6,5,0,1,0,0,1,2,0,0,0,1
ELAC,1,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
Philips,1,1,0,2,1,1,0,0,0,0,0,1,5,0,0,0,0,0,1,0,0,0,0
Magic,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Sound Appeal,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
Samsung,92,13,8,57,9,10,8,5,2,24,29,85,49,0,13,2,2,14,18,0,8,0,0
Logitech,2,1,1,3,0,0,0,0,0,1,2,3,2,0,0,0,0,0,2,0,0,0,0
Element,4,0,1,4,0,0,0,0,1,1,0,2,2,0,0,0,0,0,2,0,0,0,0
GE,580,185,115,688,80,137,31,21,30,202,224,715,638,13,159,13,8,58,186,0,84,0,8
Anker,1,0,0,1,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0
Sony,61,7,7,50,9,15,8,2,8,22,32,65,57,3,19,2,4,13,20,1,10,0,1
Heartbeat,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Amber,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Secura,12,1,7,17,4,3,1,3,2,7,3,20,16,0,7,2,0,4,3,0,3,0,0
Vizio,49,9,5,38,6,10,0,2,3,15,9,47,36,1,10,1,0,7,14,0,3,0,1
Google,13,2,2,6,2,0,1,1,1,2,5,11,6,1,5,0,0,2,1,0,0,0,0
Apple,11,0,2,4,2,2,0,0,0,4,3,11,7,0,4,0,0,2,5,0,2,0,0
UFO,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Vshow,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Marshall,1,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0
Beats,1,1,0,3,0,0,0,0,0,0,0,3,2,0,1,0,0,1,0,0,0,0,0
AmazonBasics,1,0,0,1,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,1
TaoTronics,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
Sharp,55,21,6,67,9,18,3,3,8,26,24,92,44,1,17,1,0,5,24,0,10,0,1
Senso,6,0,1,3,0,0,1,0,0,2,1,5,2,0,2,0,0,0,2,0,0,0,0
Camco,1,0,1,1,0,1,0,0,0,1,1,1,1,0,1,0,0,0,1,0,0,0,0
Panasonic,4,0,1,8,1,1,0,0,1,3,2,10,3,1,1,0,1,2,4,0,0,0,0
