brand,quality,settings,nan,space,tech parts,volume,new model,output,audio,speed,size
Westing House,0,0,2,0,2,0,0,0,4,0,0
SPT,0,0,0,0,0,1,0,0,1,0,0
Hisense,0,2,2,0,10,2,1,1,7,0,0
Jam,0,0,0,0,3,0,0,0,2,0,0
Proscan,0,0,3,0,0,1,0,0,1,0,0
Whirlpool,0,0,0,0,1,0,0,0,1,0,0
LG,1,14,17,0,50,10,0,7,59,0,0
TW,5,53,108,12,235,41,1,21,233,5,4
nan,3,44,3585,12,585,122,0,20,1143,8,2
TCL,0,12,14,3,49,14,0,6,44,2,0
Toshiba,0,1,2,0,3,1,0,1,4,0,0
Amazon,4,18,28,1,72,9,0,7,44,1,1
Hake,0,0,0,0,1,0,0,0,0,0,0
Sceptre,2,31,143,6,261,42,0,23,297,6,2
Bose,0,0,0,0,7,0,0,0,11,0,0
ELAC,0,0,0,0,1,0,0,0,1,0,0
Philips,0,2,1,0,3,0,0,0,4,0,0
Magic,0,0,0,0,1,0,0,0,0,0,0
Sound Appeal,0,1,0,0,1,1,0,0,1,0,0
Samsung,2,12,33,2,83,15,1,13,82,1,0
Logitech,0,2,0,0,4,2,0,1,3,0,0
Element,0,0,2,0,1,0,0,0,3,0,0
GE,8,143,387,23,770,141,3,56,836,7,1
Anker,0,1,0,0,1,0,0,1,1,0,0
Sony,4,15,18,1,75,7,0,4,62,2,0
Heartbeat,0,0,1,0,1,0,0,0,0,0,0
Amber,0,0,0,0,0,1,0,0,1,0,0
Secura,0,5,7,0,17,3,1,3,12,0,0
Vizio,1,11,18,1,46,7,1,5,53,0,0
Google,0,4,5,0,9,0,0,4,7,0,0
Apple,0,0,4,0,10,0,0,1,12,0,0
UFO,0,0,1,0,0,0,0,0,0,0,0
Vshow,0,0,0,0,0,0,0,0,1,0,0
Marshall,0,1,0,0,1,1,0,1,1,0,0
Beats,0,0,2,0,2,0,0,0,3,0,0
AmazonBasics,0,1,0,0,1,0,0,0,1,0,0
TaoTronics,0,0,0,0,1,0,0,0,1,0,0
Sharp,0,14,42,6,57,10,1,3,99,2,0
Senso,0,1,0,0,9,2,0,0,5,0,0
Camco,0,1,0,0,1,1,0,0,1,0,0
Panasonic,0,3,0,0,8,1,0,2,10,0,0
