ngram,Functional,Brand
well being,Health maintenance and well-being,
wellbeing,Health maintenance and well-being,
multi vitamin,Health maintenance and well-being,
multivitamin,Health maintenance and well-being,
cancer,Health maintenance and well-being,
immune system,Health maintenance and well-being,
bone health,Health maintenance and well-being,
metabolism,Health maintenance and well-being,
booster,Health maintenance and well-being,
healthy,Health maintenance and well-being,
#health,Health maintenance and well-being,
wellness,Health maintenance and well-being,
basic supplement,Health maintenance and well-being,
maintain weight,Health maintenance and well-being,
weight maintenance,Health maintenance and well-being,
wellness,Health maintenance and well-being,
#wellness,Health maintenance and well-being,
well ness,Health maintenance and well-being,
preventive,Health maintenance and well-being,
immunity,Health maintenance and well-being,
cutting calories,"Weight loss, Dieting, Hunger suppresants",
burn calories,"Weight loss, Dieting, Hunger suppresants",
excess fat,"Weight loss, Dieting, Hunger suppresants",
excess body fat,"Weight loss, Dieting, Hunger suppresants",
burn fat,"Weight loss, Dieting, Hunger suppresants",
fat burn,"Weight loss, Dieting, Hunger suppresants",
diet,"Weight loss, Dieting, Hunger suppresants",
hunger,"Weight loss, Dieting, Hunger suppresants",
suppressant,"Weight loss, Dieting, Hunger suppresants",
hunger pangs,"Weight loss, Dieting, Hunger suppresants",
appetite,"Weight loss, Dieting, Hunger suppresants",
weightloss,"Weight loss, Dieting, Hunger suppresants",
weight loss,"Weight loss, Dieting, Hunger suppresants",
lowcalorie,"Weight loss, Dieting, Hunger suppresants",
lowfat,"Weight loss, Dieting, Hunger suppresants",
lowcarb,"Weight loss, Dieting, Hunger suppresants",
fiber,"Weight loss, Dieting, Hunger suppresants",
low calorie,"Weight loss, Dieting, Hunger suppresants",
low fat,"Weight loss, Dieting, Hunger suppresants",
low carb,"Weight loss, Dieting, Hunger suppresants",
healthy fats,Cardiovascular,
healthy fat,Cardiovascular,
heart,Cardiovascular,
healthy heart,Cardiovascular,
good fat,Cardiovascular,
cholesterol,Cardiovascular,
pregnant,"Pregnancy, breastfeeding",
baby,"Pregnancy, breastfeeding",
pregnancy,"Pregnancy, breastfeeding",
infant,"Pregnancy, breastfeeding",
breastfeed,"Pregnancy, breastfeeding",
motherfood,"Pregnancy, breastfeeding",
babyfood,"Pregnancy, breastfeeding",
mothersmilk,"Pregnancy, breastfeeding",
mothermilk,"Pregnancy, breastfeeding",
natal,"Pregnancy, breastfeeding",
postnatal,"Pregnancy, breastfeeding",
prenatal,"Pregnancy, breastfeeding",
post natal,"Pregnancy, breastfeeding",
pre natal,"Pregnancy, breastfeeding",
babymilk,"Pregnancy, breastfeeding",
baby milk,"Pregnancy, breastfeeding",
breastmilk,"Pregnancy, breastfeeding",
breast milk,"Pregnancy, breastfeeding",
baby,"Pregnancy, breastfeeding",
mental health,Mental health,
stress,Mental health,
feel-good,Mental health,
mood,Mental health,
sleep,Mental health,
serotonin,Mental health,
brain cells,Mental health,
brain health,Mental health,
cognitive,Mental health,
cerebral,Mental health,
brain performance,Mental health,
bone joint,Joints,
bone joints,Joints,
healthy joints,Joints,
flexible,Joints,
flexibility,Joints,
sex,Sex health (Testosterone),
sperm,Sex health (Testosterone),
testosterone,Sex health (Testosterone),
muscle,Work out,
strength,Work out,
body build,Work out,
body builder,Work out,
body builders,Work out,
body building,Work out,
protein ,Work out,
gym,Work out,
#gym,Work out,
#gymlife,Work out,
lowfat,Work out,
lowcalorie,Work out,
lowcarb,Work out,
workout,Work out,
work-out,Work out,
fitness,Work out,
#fitness,Work out,
