reqId,reqKw,reqTime,reqStatus
1,supplements_10k.csv,"Friday, 22. June 2018 06:07:37 PM",Complete
2,headphones.csv,"Monday, 25. June 2018 02:04:49 PM",Complete
3,TV,"Friday, 27. July 2018 03:05:45 PM",Complete
4,probiotic yogurt,"Monday, 13. August 2018 06:25:23 PM",Complete
5,probiotic,"Monday, 13. August 2018 06:25:46 PM",Complete
6,probiotic yogurt.csv,"Tuesday, 14. August 2018 01:19:43 PM",Complete
7,intel processor,"Thursday, 16. August 2018 03:48:31 PM",Complete
8,intel processor .csv,"Thursday, 16. August 2018 06:47:56 PM",Complete
9,usb,"Friday, 17. August 2018 06:39:42 PM",Complete
9,probiotic curd,"Monday, 20. August 2018 06:46:13 PM",Complete
