brand,Mental health,Remedial,Organic,Joints,"Pregnancy, breastfeeding","Dyspeptics, probiotics",Beauty supplements,nan,Diabetes,"Weight loss, Dieting, Hunger suppresants",Health maintenance and well-being,"Sports Supplements (Energy, Endurance, Workout)",Gamers supplements,Work out,Botanical,Sex health (Testosterone),Cardiovascular
viva,0,0,0,0,0,0,32,0,0,32,32,0,0,32,0,0,0
pre-tea,0,0,0,0,0,0,0,0,0,4,0,0,0,4,1,0,0
naturewise,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
hum nutrition,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
doctors best,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
ritual,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
nan,35,7,132,4,36,20,74,9305,26,1897,2347,289,1,7883,274,41,23
garden of life,0,0,9,0,0,0,0,5,0,1,5,0,0,13,4,0,0
profile,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
biotin,1,0,3,0,0,32,5,1,0,19,13,2,0,21,3,0,0
made for,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
vitamina,13,0,31,0,8,4,25,164,3,315,212,113,0,104,51,0,6
nectar7,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
emergenc,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
hapi,0,0,0,0,0,0,0,0,0,2,2,0,0,4,0,0,0
energetix,0,0,0,0,0,0,0,0,0,69,0,69,0,2,0,0,0
